Time,Open,High,Low,Latest,Change,%Change,Volume
"2025-10-31 05:30",99.543,99.569,99.543,99.554,0.011,+0.01%,0
"2025-10-31 05:15",99.511,99.553,99.507,99.543,0.031,+0.03%,0
"2025-10-31 05:00",99.504,99.539,99.5,99.512,0.008,+0.01%,0
"2025-10-31 04:45",99.555,99.575,99.497,99.504,-0.051,-0.05%,0
"2025-10-31 04:30",99.553,99.57,99.548,99.555,0.002,0.00%,0
"2025-10-31 04:15",99.508,99.561,99.508,99.553,0.047,+0.05%,0
"2025-10-31 04:00",99.539,99.556,99.504,99.506,-0.033,-0.03%,0
"2025-10-31 03:45",99.557,99.572,99.534,99.539,-0.018,-0.02%,0
"2025-10-31 03:30",99.569,99.582,99.551,99.557,-0.011,-0.01%,0
"2025-10-31 03:15",99.589,99.613,99.557,99.568,-0.021,-0.02%,0
"2025-10-31 03:00",99.575,99.604,99.572,99.589,0.015,+0.02%,0
"2025-10-31 02:45",99.615,99.627,99.562,99.574,-0.045,-0.05%,0
"2025-10-31 02:30",99.603,99.626,99.582,99.619,0.016,+0.02%,0
"2025-10-31 02:15",99.641,99.648,99.599,99.603,-0.039,-0.04%,0
"2025-10-31 02:00",99.595,99.663,99.585,99.642,0.047,+0.05%,0
"2025-10-31 01:45",99.533,99.601,99.53,99.595,0.062,+0.06%,0
"2025-10-31 01:30",99.51,99.533,99.49,99.533,0.023,+0.02%,0
"2025-10-31 01:15",99.506,99.513,99.483,99.51,0.003,0.00%,0
"2025-10-31 01:00",99.509,99.532,99.497,99.507,-0.003,0.00%,0
"2025-10-31 00:45",99.501,99.515,99.49,99.51,0.01,+0.01%,0
"2025-10-31 00:30",99.514,99.52,99.484,99.5,-0.013,-0.01%,0
"2025-10-31 00:15",99.498,99.533,99.497,99.513,0.015,+0.02%,0
"2025-10-31 00:00",99.479,99.5,99.479,99.498,0.019,+0.02%,0
"2025-10-30 23:45",99.474,99.495,99.473,99.479,0.005,+0.01%,0
"2025-10-30 23:30",99.489,99.504,99.473,99.474,-0.015,-0.02%,0
"2025-10-30 23:15",99.488,99.503,99.483,99.489,0.001,0.00%,0
"2025-10-30 23:00",99.522,99.528,99.487,99.488,-0.035,-0.04%,0
"2025-10-30 22:45",99.506,99.533,99.505,99.523,0.018,+0.02%,0
"2025-10-30 22:30",99.504,99.515,99.498,99.505,0.001,0.00%,0
"2025-10-30 22:15",99.504,99.512,99.494,99.504,0,0.00%,0
"2025-10-30 22:00",99.501,99.504,99.481,99.504,0.002,0.00%,0
"2025-10-30 21:45",99.492,99.502,99.48,99.502,0.01,+0.01%,0
"2025-10-30 21:30",99.454,99.492,99.451,99.492,0.038,+0.04%,0
"2025-10-30 21:15",99.472,99.472,99.446,99.454,-0.017,-0.02%,0
"2025-10-30 21:00",99.498,99.517,99.466,99.471,-0.027,-0.03%,0
"2025-10-30 20:45",99.442,99.503,99.438,99.498,0.055,+0.06%,0
"2025-10-30 20:30",99.424,99.444,99.423,99.443,0.019,+0.02%,0
"2025-10-30 20:15",99.447,99.447,99.416,99.424,-0.023,-0.02%,0
"2025-10-30 20:00",99.461,99.466,99.427,99.447,-0.014,-0.01%,0
"2025-10-30 19:45",99.459,99.476,99.448,99.461,0.002,0.00%,0
"2025-10-30 19:30",99.478,99.481,99.452,99.459,-0.019,-0.02%,0
"2025-10-30 19:15",99.47,99.494,99.466,99.478,0.008,+0.01%,0
"2025-10-30 19:00",99.474,99.491,99.453,99.47,-0.003,0.00%,0
"2025-10-30 18:45",99.494,99.504,99.459,99.473,-0.05,-0.05%,0
"2025-10-30 17:00",99.514,99.525,99.513,99.523,0.009,+0.01%,0
"2025-10-30 16:45",99.519,99.52,99.51,99.514,-0.005,-0.01%,0
"2025-10-30 16:30",99.526,99.542,99.518,99.519,-0.007,-0.01%,0
"2025-10-30 16:15",99.529,99.531,99.524,99.526,-0.003,0.00%,0
"2025-10-30 16:00",99.542,99.542,99.502,99.529,-0.013,-0.01%,0
"2025-10-30 15:45",99.514,99.545,99.493,99.542,0.028,+0.03%,0
"2025-10-30 15:30",99.524,99.524,99.498,99.514,-0.01,-0.01%,0
"2025-10-30 15:15",99.525,99.53,99.507,99.524,-0.001,0.00%,0
"2025-10-30 15:00",99.548,99.552,99.525,99.525,-0.023,-0.02%,0
"2025-10-30 14:45",99.541,99.549,99.528,99.548,0.007,+0.01%,0
"2025-10-30 14:30",99.555,99.556,99.54,99.541,-0.014,-0.01%,0
"2025-10-30 14:15",99.521,99.562,99.521,99.555,0.034,+0.03%,0
"2025-10-30 14:00",99.525,99.536,99.495,99.521,-0.005,-0.01%,0
"2025-10-30 13:45",99.51,99.53,99.508,99.526,0.016,+0.02%,0
"2025-10-30 13:30",99.522,99.524,99.502,99.51,-0.012,-0.01%,0
"2025-10-30 13:15",99.537,99.546,99.521,99.522,-0.016,-0.02%,0
"2025-10-30 13:00",99.527,99.541,99.515,99.538,0.011,+0.01%,0
"2025-10-30 12:45",99.542,99.542,99.51,99.527,-0.015,-0.02%,0
"2025-10-30 12:30",99.528,99.551,99.528,99.542,0.015,+0.02%,0
"2025-10-30 12:15",99.555,99.569,99.524,99.527,-0.028,-0.03%,0
"2025-10-30 12:00",99.505,99.56,99.5,99.555,0.051,+0.05%,0
"2025-10-30 11:45",99.494,99.526,99.486,99.504,0.011,+0.01%,0
"2025-10-30 11:30",99.537,99.549,99.492,99.493,-0.044,-0.04%,0
"2025-10-30 11:15",99.553,99.587,99.535,99.537,-0.015,-0.02%,0
"2025-10-30 11:00",99.549,99.573,99.531,99.552,0.004,0.00%,0
"2025-10-30 10:45",99.519,99.566,99.504,99.548,0.029,+0.03%,0
"2025-10-30 10:30",99.476,99.563,99.476,99.519,0.042,+0.04%,0
"2025-10-30 10:15",99.475,99.489,99.456,99.477,0.002,0.00%,0
"2025-10-30 10:00",99.509,99.542,99.472,99.475,-0.034,-0.03%,0
"2025-10-30 09:45",99.486,99.53,99.484,99.509,0.024,+0.02%,0
"2025-10-30 09:30",99.421,99.504,99.401,99.485,0.063,+0.06%,0
"2025-10-30 09:15",99.437,99.463,99.401,99.422,-0.019,-0.02%,0
"2025-10-30 09:00",99.486,99.511,99.399,99.441,-0.046,-0.05%,0
"2025-10-30 08:45",99.502,99.57,99.477,99.487,-0.015,-0.02%,0
"2025-10-30 08:30",99.566,99.573,99.498,99.502,-0.064,-0.06%,0
"2025-10-30 08:15",99.659,99.677,99.556,99.566,-0.092,-0.09%,0
"2025-10-30 08:00",99.642,99.724,99.633,99.658,0.017,+0.02%,0
"2025-10-30 07:45",99.539,99.647,99.538,99.641,0.102,+0.10%,0
"2025-10-30 07:30",99.466,99.552,99.443,99.539,0.073,+0.07%,0
"2025-10-30 07:15",99.362,99.489,99.358,99.466,0.104,+0.10%,0
"2025-10-30 07:00",99.339,99.368,99.328,99.362,0.023,+0.02%,0
"2025-10-30 06:45",99.302,99.35,99.297,99.339,0.037,+0.04%,0
"2025-10-30 06:30",99.255,99.305,99.226,99.302,0.047,+0.05%,0
"2025-10-30 06:15",99.242,99.266,99.234,99.255,0.016,+0.02%,0
"2025-10-30 06:00",99.26,99.279,99.225,99.239,-0.02,-0.02%,0
"2025-10-30 05:45",99.227,99.262,99.218,99.259,0.031,+0.03%,0
"2025-10-30 05:30",99.209,99.233,99.186,99.228,0.02,+0.02%,0
"2025-10-30 05:15",99.173,99.208,99.166,99.208,0.035,+0.04%,0
"2025-10-30 05:00",99.172,99.187,99.154,99.173,0.001,0.00%,0
"2025-10-30 04:45",99.147,99.178,99.136,99.172,0.025,+0.03%,0
"2025-10-30 04:30",99.115,99.15,99.079,99.147,0.031,+0.03%,0
"2025-10-30 04:15",99.143,99.145,99.115,99.116,-0.027,-0.03%,0
"2025-10-30 04:00",99.139,99.168,99.122,99.143,0.003,0.00%,0
